Database ID,Proposed date,Site,Field No.,Trench/location,Level/stratigraphy,Square/Locus,MNI,Age,Sex/gender,Disposal area,Burial type,"Construction, container, wrapping",Alignment (orientation),Body position,Vessels (pottery),Vessels (silicious),Vessels (metal),Vessels (stone),Jewellery,Pins,Weapons,Tools,Glyptic,Animal remains,Miscellaneous grave goods,Possible additional grave goods,Other excavator notes,Data source,Data collator notes,Site latitude,Site longitude,lng,lat
Ben1,Susa I (?),Bendebal,t. 534,sector DE-8/9,13,E-8,1,adult,-,"probably a temporarily abandoned zone, no remains of habitation",brick,"slightly trapezoidal shape, constituted by walls in rectangular bricks (25/30 x 12/16 x 6/8 cm), long sides preserved 2 courses, while at the head 5 bricks placed slightly corbelled could have belonged to a cover; near the skeleton traces of white seem to be the remains of a mat that enveloped the body ","E-W (head E), face directed to N","on back, legs extended, arms folded on the chest, hands in front of face","behind head, half recessed in wall: 1 conical goblet in fine ceramic (fig. 167.1), 1 small carinated jar in very fine ""eggshell""-like ware with painted decoration (fig. 167.2)",-,-,-,-,-,-,"behind head, half recessed in wall: 1 silex knife",-,-,around body: several oval pebbles,-,"part of the sides of the basin had disappeared, having been cut by a ""child"" burial of the Islamic period (t. 546)","Dollfus 1983: 135, 142, figs. 50, 53.1, 83.1-2, pl. XIII.2, XIX.5-6",-,"32°18'1.37""N","48°14'15.29""E",32.3003805555556,48.2375805555556
Ben2,Susa I,Bendebal,t. 661,sector DE-8/9,13,D-8,1,adult,-,"probably a temporarily abandoned zone, no remains of habitation",brick,walls positioned ca. 20 cm inside the pit cut for the burial; made of bricks placed vertically (27 x 12 x 7 cm),E-W (head E),"on back, flexed, arms folded, hands at head height","placed between brick wall and wall of pit: hemispherical bowl in shiny black ceramic (fig. 277.1), painted carinated fine paste bowl (fig. 277.2), cylindrical bowl (fig. 288.1)",-,-,-,-,-,-,-,-,-,-,-,body appears to have been enveloped in a mat,"Dollfus 1983: 135, 142, figs. 50, 53.2, 83.3-5, pl. XIX.8-10",contained Susa I vessel,"32°18'1.37""N","48°14'15.29""E",32.3003805555556,48.2375805555556
Ben3,Susa I (?),Bendebal,t. 544 ,sector DE-8/9,13,E-9,1,-,-,"probably a temporarily abandoned zone, no remains of habitation",brick,only one of the walls preserved,-,-,conical goblet in common ware (fig. 175.1) and small painted jar (fig. 175.2),-,-,-,-,-,-,-,-,-,-,-,"very disturbed by burials of the Islamic period and by proximity to the surface; only a wall, femur, tibia, and two vessels found","Dollfus 1983: 135, 142, figs. 50, 53.2, 83.7, pl. XIX.7",-,"32°18'1.37""N","48°14'15.29""E",32.3003805555556,48.2375805555556
Ben4,pre-Susa I,Bendebal,t. 535,sector G-7/8,15 [catalogued incorrectly in level 17],G-7,1,adult (?),-,"probably a temporarily abandoned zone, no remains of habitation",pit,pit ,"seems to be NE-SW, face directed to N","one ""limb"" folded, hands toward the face",-,-,-,-,-,-,-,-,-,-,-,-,"cut by sondage II of R. de Mequenem; only part of the skeleton remains (the skull, one limb); all around the skeleton in the fill of the pit were fragments of mat","Dollfus 1983: 136, 142, fig. 47",-,"32°18'1.37""N","48°14'15.29""E",32.3003805555556,48.2375805555556
Ben5,pre-Susa I,Bendebal,t. 610,-,15,D-9,1,-,-,"probably a temporarily abandoned zone, no remains of habitation",brick,"a pit against the wall of which rested walls of brick (40 x 22 x 10 cm); 11 bricks rested diagonally, transversally (crosswise) to the axis of the burial, as a cover",E-W,unclear,-,-,-,-,-,-,-,-,-,-,-,-,"burial cut through a wall of level 16, was in turn cut at the west extremity by a wall of level 12 (i.e. probably pre-Susa I; indicating this burial type goes back further); the bricks of the cover and the skull had disappeared, as well as the funerary vessels that must have been situated in this part; only 6 vertebrae, 2 ulnae, and a fragment of radius were found","Dollfus 1983: 136, 142, figs. 47, 53.3, pls. XII.2, XIII.1",-,"32°18'1.37""N","48°14'15.29""E",32.3003805555556,48.2375805555556
Ben6,pre-Susa I,Bendebal,t. 660,sector G-7/8,15,G-7-8,1,-,-,"probably a temporarily abandoned zone, no remains of habitation",pit,pit ca. 60 cm deep,unclear,unclear,fine painted ceramic bowl (fig. 112.1),-,-,-,-,-,-,-,-,-,-,-,"only some bones found (scapula, vertebrae) ","Dollfus 1983: 136, 142",-,"32°18'1.37""N","48°14'15.29""E",32.3003805555556,48.2375805555556
Ben7,pre-Susa I,Bendebal,t. 711,-,15,C-8-9,1,juvenile (ca. 4-5 years),-,"probably a temporarily abandoned zone, no remains of habitation",brick,"pit bordered by a facing of small bricks (40 x 22 x 8 cm) placed vertically, thorax covered by a braided mat coated in bitumen","N-S (head N), face directed to W","on back, head turned on right side",-,-,-,-,-,-,-,-,-,-,-,-,"""child"" skeleton; no grave goods","Dollfus 1983: 142, fig. 53.4",-,"32°18'1.37""N","48°14'15.29""E",32.3003805555556,48.2375805555556
ChM1,Susa II,Chogha Mish,-,"High Mound, trench XXIII",-,-,1,-,-,immediately below a protoliterate floor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"very decayed burial; no grave goods; ""Protoliterate"" date",Delougaz and Kantor 1996: 157,-,"32°13'23.34""N","48°33'16.68""E",32.22315,48.5546333333333
ChM2,Sukkalmah,Chogha Mish,-,"High Mound, trench IV",-,-,1,-,-,just below modern surface,-,-,-,-,pottery ,-,-,-,-,-,-,-,-,-,-,-,-,Delougaz and Kantor 1996: 3,-,"32°13'23.34""N","48°33'16.68""E",32.22315,48.5546333333333
ChM3,Sukkalmah/Middle Elamite,Chogha Mish,4.32,"High Mound, Trench XXVII A",-,Locus P10:402,1,-,-,-,pit,-,"E-W, face directed to S","""contracted""",-,-,-,-,-,-,-,-,-,-,-,-,Sukkalmah sherds in fill; no grave goods,"Delougaz and Kantor 1996: 385, pl. 261 (trench plan)",-,"32°13'23.34""N","48°33'16.68""E",32.22315,48.5546333333333
ChM4,Sukkalmah (?),Chogha Mish,4.33,"High Mound, Trench XXVII A",-,Locus P10:403 South,1,-,-,-,pit (?),-,"slight SE-NW, face directed to S","extended, bent lower legs",-,-,-,-,-,-,-,-,-,-,-,-,partly destroyed skeleton,"Delougaz and Kantor 1996: 385, pl. 261 (trench plan)",-,"32°13'23.34""N","48°33'16.68""E",32.22315,48.5546333333333
ChM5,Sukkalmah,Chogha Mish,-,High Mound,-,Locus Q11:101,1,-,-,-,jar (?),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fragments of a vat with remains of a burial [unclear if the burial was inside the vat],Delougaz and Kantor 1996: 387,-,"32°13'23.34""N","48°33'16.68""E",32.22315,48.5546333333333
ChM6,Sukkalmah,Chogha Mish,-,High Mound,-,Locus N9:1004,1,juvenile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ashy debris around burial,Delougaz and Kantor 1996: 311,-,"32°13'23.34""N","48°33'16.68""E",32.22315,48.5546333333333
ChM7,Susa II,Chogha Mish,-,High Mound,-,Locus N9:1004,1,juvenile ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"ashy debris around burial; ""Protoliterate"" date",Delougaz and Kantor 1996: 312,-,"32°13'23.34""N","48°33'16.68""E",32.22315,48.5546333333333
ChM8,"Pre-Susa I (Late Middle Susiana, ca. 5000-4800 BCE)",Chogha Mish,5.15,"High Mound, Trench XXXI",-,Locus P27:504 east,1,adult,-,-,pit,-,"SW-NE (head SW), face directed to NW",extended,at head: late Middle Susiana bowl (pl. 164:H),-,-,-,-,-,-,-,-,-,-,-,"partly destroyed skeleton, 1.74 m long","Delougaz and Kantor 1996: 464, pl. 164:H, 277",-,"32°13'23.34""N","48°33'16.68""E",32.22315,48.5546333333333
ChM9,Sukkalmah,Chogha Mish,-,High Mound,-,Locus N9:1005,1,-,-,near a Protoliterate catch basin,-,-,-,-,-,-,-,goat-handled bituminous stone cup,-,-,-,-,-,-,-,-,scattered human bones near the cup suggest this was a burial,"Alizadeh 2008: 81, fig. 8, pl. 26:B",-,"32°13'23.34""N","48°33'16.68""E",32.22315,48.5546333333333
ChM10,Sukkalmah,Chogha Mish,-,High Mound,-,Locus N9:1001,1,-,-,-,jar (?),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,burial either inside or accompanied by a vessel,"Alizadeh 2008: 208, figs. 8, 25:U",-,"32°13'23.34""N","48°33'16.68""E",32.22315,48.5546333333333
ChM11,possibly post-Susa II,Chogha Mish,-,High Mound (?),-,Locus Q16:1001,1,-,-,in a room of a monumental building complex of Protoliterate era,pit,"pit, oval-shape","""facing"" SW",on side,-,-,-,-,-,-,-,-,-,-,-,-,"Protoliterate, or could have been cut into the building during a later period; lower jaw and lower legs missing; no grave goods",Alizadeh 2008: 43,-,"32°13'23.34""N","48°33'16.68""E",32.22315,48.5546333333333
ChM12,Sukkalmah (?),Chogha Mish,-,"High Mound, Trench XXIII",-,Locus N10:1002,1,-,-,late Susiana architecture,pit,"pit, roughly rectangular, 90 x 180 cm","E-W (head E), face directed to E","on back, legs extended (roughly drawn in fig. 7)",at feet: 1 vessel (fig. 25:J),-,-,-,-,-,-,-,-,-,-,-,"architecture is late Susiana 2 (ca. 4400-4200 BCE), but vessel is Sukkalmah","Alizadeh 2008: 33, figs. 7, 25:J",-,"32°13'23.34""N","48°33'16.68""E",32.22315,48.5546333333333
ChM13,-,Chogha Mish,-,"High Mound, Trench XXIII",-,Locus N10:1010,1 (?),-,-,late Susiana 2-dated building - next to southern wall of a long room with mud-plastered walls (N10:1010),pit,"pit, oval-shape",-,-,1 completely preserved vessel,-,-,-,-,-,-,1 hoe,-,-,-,-,possible burial with a few badly preserved bones ,"Alizadeh 2008: 33-34, fig. 7",-,"32°13'23.34""N","48°33'16.68""E",32.22315,48.5546333333333
HaT1,early Middle Elamite,Haft Tappeh,"T.A. ""tomb of Tepti Ahar""","""tomb-temple complex""",-,A and B XX,21,all adult (?),-,"tomb building (parallel to the ""mass burial chamber"", database ID HaT2) ",tomb,"rectangular (l. 12.90 m, w. 5.80 m) baked brick tomb, arched vaulted roof (h. 1.40-3.37 m); gypsum mortar between the bricks; burial chamber (10 x 3.25 x 7.75 m) contains a baked brick burial platform (8.10 x 2.90 x 0.40 m) that covers most of the floor, leaving a narrow passage on the eastern wall and an open floor area at the southern end; platform divided into 3 sections by 2 inner partitions and bordered by a low wall (h. 15 cm) with drainage holes (w. 10 cm); a coat of gypsum covered all surfaces of the tomb and burial platform; an entrance at the southern wall connects to Hall no.1","7 individuals on north side of platform: W-E (head W), face directed to S","7 individuals on north side of platform: set down on right side with heads next to west wall, legs flexed and feet toward east wall",southern section of platform: elongated pottery vessel ,-,-,-,-,-,-,-,-,-,-,-,"7 individuals set down parallel to one another on northern section of the platform, at least 2 individuals in the southern section, 12 more carelessly dumped inside the southern entrance; remains of red ochre on the platform and on the skeletons, indicating that after a ritual washing the bodies were covered by a rather thick layer of this pigment; two sun-dried brick walls separate this tomb and the ""mass burial tomb"" (database ID HaT2)","Negahban 1991: 14-15, 20-21; plan 4; pl. 6A-B (in situ photograph)",-,"32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
